Produktgruppe,RowID,Kontrolle,K von,BE am,BE von,K am,K2 von,C am,C von,Reopen C2 am,Reopen C2 von
NA,3044049531572100,,HI,,,,,,,,
NA,7547649158942596,,HI,,,,,,,,
NA,1918149624729476,,HI,,,,,,,,
NA,6421749252099972,,HI,,,,,,,,
NA,4169949438414724,,HI,,,,,,,,
NA,8673549065785220,,HI,,,,,,,,
NA,510774741176196,,HI,,,,,,,,
NA,5014374368546692,,HI,,,,,,,,
NA,2762574554861444,,HI,,,,,,,,
NA,7266174182231940,,,,,,,,,,
NA,1636674648018820,,HI,,,,,,,,
NA,6140274275389316,,HI,,,,,,,,
NA,3888474461704068,,HI,,,,,,,,
NA,8392074089074564,,,,,,,,,,
NA,1073724694597508,,HI,,,,,,,,
NA,5577324321968004,,HI,,,,,,,,
NA,3325524508282756,,JHU,,,,,,,,
NA,7829124135653252,,,,,,,,,,
NA,2199624601440132,,SM,,,,,,,,
NA,6703224228810628,,DM,,,,,,,,
NA,4451424415125380,,SM,,,,,,,,
NA,8955024042495876,,DM,,,,,,,,
NA,53377904021380,,DM,,,,,,,,
NA,4556977531391876,,DM,,LK,,,,,,
NA,2305177717706628,,SM,,,,,,,,
NA,6808777345077124,,DM,,,,,,,,
NA,1179277810864004,,DM,,,,,,,,
NA,5682877438234500,,EK,,,,,,,,
NA,3431077624549252,,,,,,,,,,
NA,7934677251919748,,SM,,,,,,,,
NA,616327857442692,,EK,,,,,,,,
NA,5119927484813188,,DM,,,,,,,,
NA,2868127671127940,,SM,,LK,,,,,,
NA,7371727298498436,,DM,,,,,,,,
NA,1742227764285316,,JHU,,,,,,,,
NA,6245827391655812,,,,,,,,,,
NA,3994027577970564,,HI,,,,,,,,
NA,8497627205341060,,HI,,LK,,,,,,
NA,334852880732036,,HI,,LK,,,,,,
NA,4838452508102532,,HI,,LK,,,,,,
NA,2586652694417284,,HI,,LK,,,,,,
NA,7090252321787780,,HI,,,,,,,,
NA,1460752787574660,,HI,,,,,,,,
NA,5964352414945156,,HI,,,,,,,,
NA,3712552601259908,,HI,,,,,,,,
NA,8216152228630404,,HI,,LK,,,,,,
NA,897802834153348,,HI,,LK,,,,,,
NA,5401402461523844,,HI,,,,,,,,
NA,3149602647838596,,HI,,,,,,,,
NA,7653202275209092,,HI,,,,,,,,
NA,2023702740995972,,HI,,,,,,,,
NA,6527302368366468,,HI,,,,,,,,
NA,4275502554681220,,JHU,,,,,,,,
NA,8779102182051716,,,,,,,,,,
NA,194115392376708,,SM,,,,,,,,
NA,4697715019747204,,EK,,,,,,,,
NA,2445915206061956,,LK,,HI,,DM,,,,
NA,6949514833432452,,EK,,LK,,LK,,,,
NA,1320015299219332,,DM,,,,,,,,
NA,5823614926589828,,SM,,LK,,LK,,,,
NA,3571815112904580,,HI,,SM,,,,,,
NA,8075414740275076,,SM,,,,,,,,
NA,757065345798020,,SM,,,,,,,,
NA,5260664973168516,,EK,,LK,,,,,,
NA,3008865159483268,,EK,,LK,,,,,,
NA,7512464786853764,,EK,,LK,,,,,,
NA,1882965252640644,,EK,,LK,,,,,,
NA,6386564880011140,,EK,,LK,,,,,,
NA,4134765066325892,,EK,,LK,,LK,,,,
NA,8638364693696388,,SM,,,,,,,,
NA,475590369087364,,JHU,,,,,,,,
NA,4979189996457860,,,,,,,,,,
NA,2727390182772612,,EK,,LK,,,,,,
NA,7230989810143108,,HI,,,,,,,,
NA,1601490275929988,,DM,,,,,,,,
NA,6105089903300484,,SM,,LK,,LK,,,,
NA,3853290089615236,,SM,,HI,,HI,,,,
NA,8356889716985732,,DM,,,,,,,,
NA,1038540322508676,,EK,,SM,,DM,,,,
NA,5542139949879172,,EK,,LK,,LK,,,,
NA,3290340136193924,,EK,,LK,,,,,,
NA,7793939763564420,,EK,,LK,,,,,,
NA,2164440229351300,,LK,,HI,,DM,,,,
NA,6668039856721796,,EK,,LK,,EK,,,,
NA,4416240043036548,,EK,,SM,,EK,,,,
NA,8919839670407044,,SM,,LK,,LK,,,,
NA,123746648199044,,LK,,HI,,DM,,,,
NA,4627346275569540,,LK,,HI,,DM,,,,
NA,2375546461884292,,JHU,,,,,,,,
NA,6879146089254788,,,,,,,,,,
NA,1249646555041668,,EK,,,,,,,,
NA,5753246182412164,,SM,,SM,,EK,,,,
NA,3501446368726916,,DM,,,,,,,,
NA,8005045996097412,,JHU,,,,,,,,
NA,686696601620356,,EK,,LK,,DM,,,,
NA,5190296228990852,,LK,,HI,,DM,,,,
NA,2938496415305604,,EK,,SM,,EK,,,,
NA,7442096042676100,,SM,,LK,,LK,,,,
NA,1812596508462980,,SM,,SM,,DM,,,,
NA,6316196135833476,,EK,,,,,,,,
